hotelCode,name,destinationName,zoneName,categoryName,country,price,currency,roomName,boardName,paymentType,rateKey,roomCode
137680,juSTa Gurgaon,,Gurgaon,4 STARS,,0,INR,,,,,
112029,Royal Plaza New Delhi,,Delhi,4 STARS,,0,INR,,,,,
82378,The Park New Delhi,,Delhi,5 STARS,,0,INR,,,,,
435818,Pride Plaza Aerocity New Delhi,,Delhi,4 STARS,,0,INR,,,,,
59410,The Suryaa New Delhi,,Delhi,5 STARS,,0,INR,,,,,
495982,Airport Hotel Grand,,Delhi,3 STARS,,0,INR,,,,,
109330,Hotel Sunstar Grand,,Delhi,3 STARS,,0,INR,,,,,
109334,The Suncourt Hotel Yatri,,Delhi,3 STARS,,0,INR,,,,,
109329,Hotel Sunstar Residency,,Delhi,3 STARS,,0,INR,,,,,
109332,Hotel Sunstar Heritage,,Delhi,3 STARS,,0,INR,,,,,
471081,bloomrooms @ New Delhi Railway Station,,Delhi,3 STARS,,0,INR,,,,,
178092,Shervani Nehru Place,,Delhi,4 STARS,,0,INR,,,,,
136953,Udman Hotel Panchshila Park,,Delhi,4 STARS,,0,INR,,,,,
114895,City Park,,Delhi,4 STARS,,0,INR,,,,,
128558,"Country Inn & Suites by Radisson, Sahibabad",,Ghaziabad,5 STARS,,0,INR,,,,,
182761,bloomrooms @ Link Road,,Delhi,3 STARS,,0,INR,,,,,
89021,The Metropolitan Hotel & Spa,,Delhi,5 STARS,,0,INR,,,,,
184692,Le Roi Delhi @ New Delhi Railway Station,,Delhi,3 STARS,,0,INR,,,,,
369457,Hotel Grand Godwin,,Delhi,2 STARS,,0,INR,,,,,
491161,Ginger Hotel Noida City Center,,Noida,3 STARS,,0,INR,,,,,
112047,"Mosaic Original, Noida",,Noida,4 STARS,,0,INR,,,,,
141291,Skycity Hotel Gurgaon,,Gurgaon,4 STARS,,0,INR,,,,,
156465,Radisson Blu Hotel Greater Noida,,Noida,5 STARS,,0,INR,,,,,
140339,Savoy Suites Noida,,Noida,4 STARS,,0,INR,,,,,
1028400,Hotel Amahi Inn Sector 30,,Gurgaon,3 STARS,,0,INR,,,,,
994322,NUO By juSTa,,Delhi,4 STARS,,0,INR,,,,,
1004265,Shanti Villa,,Delhi,3 STARS,,0,INR,,,,,
992412,Goldenkeys Inn,,Delhi,3 STARS,,0,INR,,,,,
988617,Red Maple Bed & Breakfast,,Delhi,BOUTIQUE,,0,INR,,,,,
989905,Udman Hotel Gurugram,,Gurgaon,4 STARS,,0,INR,,,,,
990056,Udman Hotel Greater Noida,,Noida,4 STARS,,0,INR,,,,,
1000270,"Hotel Limon Near Sector 29, Gurgaon",,Gurgaon,4 STARS,,0,INR,,,,,
958511,"Le Roi Express, Paharganj",,Delhi,3 STARS,,0,INR,,,,,
700373,Beacon Hotel Nirman Vihar New Delhi,,Delhi,3 STARS,,0,INR,,,,,
671022,Hotel Lohmod Delhi Airport,,Delhi,4 STARS,,0,INR,,,,,
989919,Udman Hotel Chattarpur,,Delhi,4 STARS,,0,INR,,,,,
684988,Hotel Diplomat,,Delhi,4 STARS,,0,INR,,,,,
645892,bloomrooms @ Janpath,,Delhi,3 STARS,,0,INR,,,,,
286849,Hotel Godwin Deluxe,,Delhi,3 STARS,,0,INR,,,,,
900821,Regenta Central Noida,,Noida,4 STARS,,0,INR,,,,,
1021655,Belvedere Suites,,Noida,3 STARS,,0,INR,,,,,
826682,Ahuja Residency Cyber City I,,Gurgaon,3 STARS,,0,INR,,,,,
702785,Savoy Suites Greater Noida,,Noida,4 STARS,,0,INR,,,,,
894333,Savoy Suites Manesar,,Gurgaon,4 STARS,,0,INR,,,,,
1024086,Ginger Noida Sector 133,,Noida,3 STARS,,0,INR,,,,,
739081,Radisson Blu Towers Kaushambi Delhi NCR,,Ghaziabad,5 STARS,,0,INR,,,,,
769245,The Atara,,Gurgaon,3 STARS AND A HALF,,0,INR,,,,,
997703,Hotel Noida Dreamz,,Noida,3 STARS,,0,INR,,,,,
286184,Broadway An Alivaa Collection Hotel,,Delhi,3 STARS,,0,INR,,,,,
1003514,Jyoti Mahal A Heritage Hotel,,Delhi,4 STARS,,0,INR,,,,,
285815,Hotel Luxe Opera NH8 – 7km from IGI Airport Delhi,,Delhi,4 STARS,,0,INR,,,,,
700396,Ahuja Residency Sunder Nagar,,Delhi,3 STARS,,0,INR,,,,,
753903,STEPiNN - Ess Kay Ess Villa,,Gurgaon,3 STARS,,0,INR,,,,,
287591,Ahuja Residency Park Lane,,Gurgaon,3 STARS,,0,INR,,,,,
927587,Regenta Suites Sector 49 Gurugram,,Gurgaon,WITHOUT OFFICIAL CATEGORY,,0,INR,,,,,
953972,Bloom Boutique Gk-1,,Delhi,WITHOUT OFFICIAL CATEGORY,,0,INR,,,,,
663647,Hotel Sky View,,Delhi,3 STARS,,0,INR,,,,,
943811,Lime Tree Hotel 32nd Avenue,,Gurgaon,3 STARS,,0,INR,,,,,
888303,Enkay Residency V Block-Cyber City,,Gurgaon,3 STARS,,0,INR,,,,,
1095766,Lime Tree Hotel - Near Medanta Hospital,,Gurgaon,4 STARS,,0,INR,,,,,
1095731,Qotel Signature - Golf Course Road,,Gurgaon,4 STARS,,0,INR,,,,,